trial	nz	encoder_depth	width_mult	nonlin	nsteps	bs	lr	y_loss_w	x_loss_w	recon_loss_w	seed	epochs	dev_mae	test_mae	use_block_diag	cl_of	t2d2	t3d3
2639	32	2	1.0	elu	120	40	0.0008141	11.4	1.4	2.96	4539	4000	2.208	2.216	True	1e+06		
2643	28	2	2.0	elu	120	40	0.000807	10.6	3.43	4.59	2309	4000	2.104	2.035	True	1e+06		
2646	27	2	1.0	relu	120	40	0.001163	8.87	2.49	2.15	3374	2000	4.635	3.934	True	1e+06		
2645	30	2	1.0	gelu	120	40	0.0008835	14.8	2.12	2.11	4221	4000	2.364	2.363	True	1e+06		
2640	25	2	1.0	elu	120	40	0.0007708	8.7	1.72	4.48	2636	4000	2.45	2.457	True	1e+06		
2644	24	2	1.0	elu	120	40	0.0007786	8.53	1.45	3.77	3512	4000	1.988	1.96	True	1e+06		
2642	28	2	1.0	elu	120	40	0.0007349	13.9	1.71	2.53	2580	4000	2.16	2.282	True	1e+06		
2651	28	2	1.0	elu	40	40	0.0008357	12.2	3.26	3.51	895	4000	4.398	4.082	True	1e+06		
2647	29	2	2.0	relu	120	40	0.0007327	11.2	4.15	4.31	1485	4000	2.996	2.886	True	1e+06		
2649	27	2	1.0	elu	120	40	0.0009938	7.51	2.83	1.94	4635	3000	3.243	3.16	True	1e+06		
2648	30	2	2.0	elu	120	40	0.0008604	9.64	3.36	4.62	357	4000	2.192	2.159	True	1e+06		
2650	27	2	1.0	elu	120	40	0.001021	11.6	2.35	3.83	2053	4000	2.539	2.735	True	1e+06		
2653	28	2	1.0	elu	120	160	0.0008602	10.1	1.76	2.8	3719	4000	2.934	2.808	True	1e+06		
2657	29	2	1.0	elu	120	40	0.0009567	10.8	2.39	4.09	1474	1000	3.916	3.17	True	1e+06		
2654	31	2	2.0	elu	120	40	0.0008621	15.7	1.68	2.3	4454	4000	1.98	2.129	True	1e+06		
2652	31	2	1.0	elu	120	40	0.0007068	13.5	1.63	2.05	3136	4000	1.996	1.957	True	1e+06		
2656	27	2	1.0	relu	120	40	0.000748	9.29	1.89	3.49	3435	2000	3.515	3.038	True	1e+06		
2655	29	2	1.0	gelu	120	160	0.0007969	10.6	4.63	4.47	1055	4000	2.455	2.494	True	1e+06		
2662	28	2	1.0	elu	20	40	0.0006893	9.8	3.52	2.67	3032	4000	137.1	38.26	True	1e+06		
2661	30	2	1.0	elu	120	160	0.0008092	12.6	1.49	2.17	4051	4000	3.676	3.2	True	1e+06		
2663	26	2	1.0	elu	120	40	0.0008668	13.9	3.93	4.68	1278	3000	2.605	2.709	True	1e+06		
2659	26	2	2.0	elu	120	80	0.0008248	10.2	1.63	4.14	3006	4000	2.079	2.213	True	1e+06		
2658	24	2	1.0	elu	120	40	0.0007686	9.97	3.16	4.92	972	4000	2.258	2.131	True	1e+06		
2660	24	2	1.0	elu	120	40	0.0007877	6.68	5.12	4.01	985	4000	2.657	2.497	True	1e+06		
2664	29	2	1.0	elu	120	160	0.000807	11.2	3.31	4.36	2113	4000	2.638	2.65	True	1e+06		
2669	27	2	0.5	elu	40	40	0.0007761	9.87	4.05	3.69	1676	4000	5.122	4.222	True	1e+06		
2665	27	2	2.0	elu	120	40	0.000856	10.2	3.28	3.38	1525	4000	2.173	2.463	True	1e+06		
